date,label
10/14/2020,25.48
10/15/2020,25.4
10/18/2020,25.49
10/19/2020,24.92
10/20/2020,24.06
10/21/2020,24.68
10/22/2020,25.98
10/25/2020,24.35
10/26/2020,24.55
10/27/2020,23.52
10/28/2020,24.15
10/29/2020,24.19
11/1/2020,24.15
11/2/2020,24.86
11/3/2020,25.57
11/4/2020,26.43
11/5/2020,25.85
11/8/2020,26.97
11/9/2020,26.64
11/10/2020,26.52
11/11/2020,26.32
11/12/2020,26.68
11/15/2020,27.79
11/16/2020,27.04
11/17/2020,27.59
11/18/2020,26.75
11/19/2020,27.15
11/22/2020,27.67
11/23/2020,28.04
11/24/2020,28.04
11/25/2020,28.54
11/26/2020,28.59
11/29/2020,29.6
11/30/2020,29.33
12/1/2020,30.01
12/2/2020,29.46
12/3/2020,30.57
12/6/2020,30.07
12/7/2020,30.02
12/8/2020,30.16
12/9/2020,31.36
12/10/2020,30.98
12/13/2020,31.27
12/14/2020,32.43
12/15/2020,32.03
12/16/2020,32.21
12/17/2020,31.36
12/20/2020,31.14
12/21/2020,31.39
12/22/2020,32.15
12/23/2020,32.41
12/27/2020,33.66
12/28/2020,33.25
12/29/2020,32.42
12/30/2020,32.94
1/3/2021,33.89
1/4/2021,33.15
1/5/2021,33.83
1/6/2021,34.97
1/7/2021,35.14
1/10/2021,34.76
1/11/2021,34.88
1/12/2021,33.88
1/13/2021,33.76
1/14/2021,31.96
1/17/2021,31.84
1/18/2021,33.3
1/19/2021,33.12
1/20/2021,34.32
1/21/2021,34.45
1/24/2021,33.39
1/25/2021,33.56
1/26/2021,33.51
1/27/2021,34.17
1/28/2021,33.18
1/31/2021,33.08
2/1/2021,35.19
2/2/2021,37.65
2/3/2021,37.49
2/4/2021,38.43
2/7/2021,38.84
2/8/2021,38.49
2/9/2021,39.56
2/10/2021,39
2/11/2021,40.28
2/14/2021,39.81
2/15/2021,39.13
2/16/2021,38.4
2/17/2021,38.61
2/18/2021,37.7
2/21/2021,38.26
2/22/2021,38.97
2/23/2021,39.45
2/24/2021,38.57
2/25/2021,37.6
2/28/2021,37.45
3/1/2021,38.69
3/2/2021,37.82
3/3/2021,38.51
3/4/2021,39.36
3/7/2021,39.47
3/8/2021,40.98
3/9/2021,41.87
3/10/2021,42.27
3/11/2021,43.19
3/14/2021,42.73
3/15/2021,41.96
3/16/2021,43.34
3/17/2021,42.74
3/18/2021,42.31
3/21/2021,43.18
3/22/2021,41.78
3/23/2021,41.96
3/24/2021,40.71
3/25/2021,42.09
3/28/2021,42.2
3/29/2021,42.4
3/30/2021,42.89
3/31/2021,42.81
4/4/2021,42.81
4/5/2021,44.6
4/6/2021,44.23
4/7/2021,43.85
4/8/2021,44.03
4/11/2021,44.86
4/12/2021,44.24
4/13/2021,44.2
4/14/2021,44.55
4/15/2021,44.8
4/18/2021,44.74
4/19/2021,45.29
4/20/2021,46.32
4/21/2021,47.51
4/22/2021,47.38
4/25/2021,47.67
4/26/2021,47.78
4/27/2021,48.28
4/28/2021,48.51
4/29/2021,49.31
5/2/2021,49.9
5/3/2021,49.06
5/4/2021,49.91
5/5/2021,50.41
5/6/2021,50.93
5/9/2021,52.72
5/10/2021,53.55
5/11/2021,55.85
5/12/2021,55.04
5/13/2021,57.23
5/16/2021,56.97
5/17/2021,53.74
5/18/2021,50.35
5/19/2021,53.41
5/20/2021,52.43
5/23/2021,53.41
5/24/2021,53.83
5/25/2021,54.22
5/26/2021,52.39
5/27/2021,51.58
5/30/2021,52.24
5/31/2021,52.97
6/1/2021,51.94
6/2/2021,50.73
6/3/2021,50.47
6/6/2021,51.97
6/7/2021,52.58
6/8/2021,53.9
6/9/2021,54.15
6/10/2021,53.07
6/13/2021,53.29
6/14/2021,51.76
6/15/2021,51.72
6/16/2021,51.28
6/17/2021,52.26
6/20/2021,52.78
6/21/2021,53.76
