date,stoxx50
12/9/2021,4208.3
12/10/2021,4199.16
12/13/2021,4183.04
12/14/2021,4144.51
12/15/2021,4159.68
12/16/2021,4201.87
12/17/2021,4161.35
12/20/2021,4107.13
12/21/2021,4174.99
12/22/2021,4217.06
12/23/2021,4265.86
12/27/2021,4287.98
12/28/2021,4311.93
12/29/2021,4284.83
12/30/2021,4306.07
1/3/2022,4331.82
1/4/2022,4367.62
1/5/2022,4392.15
1/6/2022,4324.81
1/7/2022,4305.83
1/10/2022,4239.52
1/11/2022,4281.54
1/12/2022,4316.39
1/13/2022,4315.9
1/14/2022,4272.19
1/17/2022,4302.14
1/18/2022,4257.82
1/19/2022,4268.28
1/20/2022,4299.61
1/21/2022,4229.56
1/24/2022,4054.36
1/25/2022,4078.26
1/26/2022,4164.6
1/27/2022,4184.97
1/28/2022,4136.91
1/31/2022,4174.6
2/1/2022,4224.45
2/2/2022,4222.05
2/3/2022,4141.02
2/4/2022,4086.58
2/7/2022,4120.56
2/8/2022,4129.25
2/9/2022,4204.09
2/10/2022,4197.07
2/11/2022,4155.23
2/14/2022,4064.45
2/15/2022,4143.71
2/16/2022,4137.22
2/17/2022,4113.19
2/18/2022,4074.28
2/21/2022,3985.71
2/22/2022,3985.47
2/23/2022,3973.41
2/24/2022,3829.29
2/25/2022,3970.69
2/28/2022,3924.23
3/1/2022,3765.85
3/2/2022,3820.59
3/3/2022,3741.78
3/4/2022,3556.01
3/7/2022,3512.22
3/8/2022,3505.29
3/9/2022,3766.02
3/10/2022,3651.39
3/11/2022,3686.78
3/14/2022,3741.1
3/15/2022,3738.11
3/16/2022,3889.69
3/17/2022,3885.32
3/18/2022,3902.44
3/21/2022,3881.8
3/22/2022,3926.12
3/23/2022,3869.22
3/24/2022,3863.39
3/25/2022,3867.73
3/28/2022,3887.1
3/29/2022,4002.18
3/30/2022,3959.14
3/31/2022,3902.52
4/1/2022,3918.68
4/4/2022,3951.12
4/5/2022,3917.85
4/6/2022,3824.69
4/7/2022,3802.01
4/8/2022,3858.37
4/11/2022,3839.62
4/12/2022,3831.47
4/13/2022,3827.96
4/14/2022,3848.68
4/19/2022,3830.76
4/20/2022,3896.81
4/21/2022,3928.03
4/22/2022,3840.01
4/25/2022,3757.59
4/26/2022,3721.36
