date,label," Price Index for Consumer: Energy(electricity, heat, fuel) "
2017-10-07,7.78,100.2
2017-10-14,8.0,100.22192307692308
2017-10-21,7.61,100.24384615384616
2017-10-28,8.32,100.26576923076924
2017-11-04,7.86,100.28769230769232
2017-11-11,7.93,100.30961538461538
2017-11-18,8.21,100.33153846153846
2017-11-25,8.13,100.35346153846154
2017-12-02,7.58,100.37538461538462
2017-12-09,7.65,100.39730769230768
2017-12-16,8.62,100.41923076923077
2017-12-23,8.6,100.44115384615384
2017-12-30,8.19,100.46307692307693
2018-01-06,8.26,100.485
2018-01-13,9.25,100.50692307692309
2018-01-20,9.67,100.52884615384616
2018-01-27,9.53,100.55076923076923
2018-02-03,9.79,100.57269230769232
2018-02-10,10.13,100.59461538461538
2018-02-17,10.43,100.61653846153844
2018-02-24,10.77,100.63846153846154
2018-03-03,11.79,100.6603846153846
2018-03-10,11.73,100.68230769230767
2018-03-17,13.23,100.70423076923076
2018-03-24,14.04,100.72615384615384
2018-03-31,13.76,100.74807692307692
2018-04-07,14.84,100.77
2018-04-14,14.02,100.94461538461536
2018-04-21,14.58,101.11923076923075
2018-04-28,14.04,101.29384615384616
2018-05-05,15.68,101.46846153846154
2018-05-12,16.38,101.64307692307692
2018-05-19,17.17,101.81769230769233
2018-05-26,16.55,101.99230769230768
2018-06-02,17.2,102.16692307692308
2018-06-09,15.98,102.34153846153846
2018-06-16,16.61,102.51615384615386
2018-06-23,16.51,102.69076923076923
2018-06-30,17.28,102.86538461538464
2018-07-07,17.69,103.04
2018-07-14,18.77,103.07032786885246
2018-07-21,19.09,103.10065573770493
2018-07-28,19.53,103.13098360655738
2018-08-04,19.73,103.16131147540985
2018-08-11,20.04,103.1916393442623
2018-08-18,22.83,103.22196721311477
2018-08-25,23.2,103.25229508196722
2018-09-01,25.33,103.28262295081969
2018-09-08,22.42,103.31295081967214
2018-09-15,24.88,103.3432786885246
2018-09-22,24.63,103.37360655737706
2018-09-29,26.1,103.40393442622953
2018-10-06,24.21,103.43426229508198
2018-10-13,22.64,103.46459016393445
2018-10-20,20.59,103.49491803278688
2018-10-27,19.18,103.52524590163937
2018-11-03,21.65,103.5555737704918
2018-11-10,21.31,103.58590163934429
2018-11-17,22.4,103.61622950819672
2018-11-24,22.7,103.6465573770492
2018-12-01,22.6,103.67688524590164
2018-12-08,25.76,103.7072131147541
2018-12-15,26.97,103.73754098360656
2018-12-22,27.02,103.76786885245902
2018-12-29,25.66,103.79819672131148
2019-01-05,24.52,103.82852459016394
2019-01-12,26.63,103.8588524590164
2019-01-19,25.68,103.88918032786886
2019-01-26,23.55,103.91950819672132
2019-02-02,23.91,103.94983606557378
2019-02-09,22.04,103.98016393442624
2019-02-16,20.43,104.0104918032787
2019-02-23,23.73,104.04081967213116
2019-03-02,24.52,104.07114754098362
2019-03-09,23.92,104.10147540983608
2019-03-16,21.99,104.13180327868852
2019-03-23,22.82,104.162131147541
2019-03-30,25.9,104.19245901639344
2019-04-06,27.82,104.22278688524592
2019-04-13,28.14,104.25311475409836
2019-04-20,27.09,104.28344262295082
2019-04-27,26.29,104.31377049180328
2019-05-04,26.62,104.34409836065574
2019-05-11,25.96,104.3744262295082
2019-05-18,26.44,104.40475409836066
2019-05-25,25.45,104.43508196721312
2019-06-01,25.66,104.46540983606558
2019-06-08,26.15,104.49573770491804
2019-06-15,26.42,104.5260655737705
2019-06-22,27.5,104.55639344262296
2019-06-29,27.67,104.58672131147542
2019-07-06,30.26,104.61704918032788
2019-07-13,30.38,104.64737704918034
2019-07-20,29.75,104.6777049180328
2019-07-27,30.61,104.70803278688524
2019-08-03,29.36,104.73836065573772
2019-08-10,27.15,104.76868852459016
2019-08-17,26.24,104.79901639344264
2019-08-24,27.37,104.82934426229508
2019-08-31,26.05,104.85967213114756
2019-09-07,27.38,104.89
2019-09-14,27.59,104.90615384615384
2019-09-21,26.34,104.9223076923077
2019-09-28,23.91,104.93846153846154
2019-10-05,25.36,104.95461538461538
2019-10-12,26.8,104.97076923076924
2019-10-19,25.8,104.98692307692308
2019-10-26,26.02,105.00307692307692
2019-11-02,25.56,105.01923076923076
2019-11-09,24.57,105.0353846153846
2019-11-16,25.31,105.05153846153846
2019-11-23,25.94,105.0676923076923
2019-11-30,25.68,105.08384615384615
2019-12-07,24.71,105.1
2019-12-14,27.21,105.07384615384616
2019-12-21,27.25,105.0476923076923
2019-12-28,25.5,105.02153846153846
2020-01-04,24.73,104.9953846153846
2020-01-11,25.97,104.96923076923076
2020-01-18,24.87,104.94307692307692
2020-01-25,24.31,104.91692307692308
2020-02-01,23.75,104.89076923076924
2020-02-08,24.71,104.8646153846154
2020-02-15,26.03,104.83846153846154
2020-02-22,24.02,104.8123076923077
2020-02-29,23.83,104.78615384615384
2020-03-07,22.38,104.76
2020-03-14,16.84,104.73685714285716
2020-03-21,17.11,104.71371428571427
2020-03-28,18.73,104.69057142857145
2020-04-04,21.86,104.66742857142856
2020-04-11,22.48,104.64428571428572
2020-04-18,21.53,104.62114285714286
2020-04-25,19.8,104.598
2020-05-02,20.17,104.57485714285714
2020-05-09,19.96,104.5517142857143
2020-05-16,22.19,104.52857142857144
2020-05-23,22.18,104.50542857142858
2020-05-30,24.02,104.48228571428572
2020-06-06,22.78,104.45914285714288
2020-06-13,24.92,104.436
2020-06-20,25.46,104.41285714285716
2020-06-27,28.64,104.38971428571428
2020-07-04,29.78,104.36657142857143
2020-07-11,28.76,104.34342857142856
2020-07-18,27.27,104.32028571428572
2020-07-25,27.22,104.29714285714286
2020-08-01,27.32,104.274
2020-08-08,26.36,104.25085714285714
2020-08-15,26.48,104.22771428571428
2020-08-22,30.38,104.20457142857144
2020-08-29,28.13,104.18142857142855
2020-09-05,28.99,104.15828571428573
2020-09-12,28.68,104.13514285714288
2020-09-19,26.75,104.112
2020-09-26,27.59,104.08885714285717
2020-10-03,26.24,104.0657142857143
2020-10-10,25.4,104.04257142857143
2020-10-17,25.98,104.01942857142858
2020-10-24,24.19,103.99628571428572
2020-10-31,25.85,103.97314285714286
2020-11-07,26.68,103.95
2020-11-14,27.15,104.16846153846154
2020-11-21,28.59,104.38692307692308
2020-11-28,30.57,104.60538461538462
2020-12-05,30.98,104.82384615384616
2020-12-12,31.36,105.04230769230767
2020-12-19,32.41,105.26076923076924
2020-12-26,32.94,105.47923076923075
2021-01-02,35.14,105.69769230769232
2021-01-09,31.96,105.91615384615385
2021-01-16,34.45,106.1346153846154
2021-01-23,33.18,106.35307692307693
2021-01-30,38.43,106.57153846153848
2021-02-06,40.28,106.79
2021-02-13,37.7,107.00846153846156
2021-02-20,37.6,107.22692307692309
2021-02-27,39.36,107.4453846153846
2021-03-06,43.19,107.66384615384617
2021-03-13,42.31,107.88230769230768
2021-03-20,42.09,108.10076923076925
2021-03-27,42.81,108.31923076923076
2021-04-03,44.03,108.53769230769232
2021-04-10,44.8,108.75615384615384
2021-04-17,47.38,108.9746153846154
2021-04-24,49.31,109.19307692307692
2021-05-01,50.93,109.41153846153846
2021-05-08,57.23,109.63
2021-05-15,52.43,109.84846153846154
2021-05-22,51.58,110.06692307692308
2021-05-29,50.47,110.2853846153846
2021-06-05,53.07,110.50384615384615
2021-06-12,52.26,110.7223076923077
2021-06-19,55.48,110.94076923076923
2021-06-26,57.76,111.15923076923076
2021-07-03,54.67,111.37769230769231
2021-07-10,53.28,111.59615384615384
2021-07-17,51.26,111.81461538461538
2021-07-24,53.69,112.03307692307692
2021-07-31,57.02,112.25153846153846
2021-08-07,55.74,112.47
2021-08-14,54.72,113.38076923076925
2021-08-21,59.32,114.29153846153848
2021-08-28,61.63,115.2023076923077
2021-09-04,61.22,116.11307692307692
2021-09-11,59.82,117.02384615384616
2021-09-18,63.29,117.93461538461538
2021-09-25,62.45,118.84538461538462
2021-10-02,58.76,119.75615384615384
2021-10-09,59.79,120.66692307692308
2021-10-16,58.64,121.5776923076923
2021-10-23,59.08,122.48846153846154
2021-10-30,59.73,123.39923076923075
