date,label,sentiment
2019-05-12,26.03,0.0
2019-05-13,26.87,0.795768
2019-05-14,26.96,-0.85409
2019-05-15,26.56,-0.93766
2019-05-16,25.96,-0.54425
2019-05-19,26.16,0.0
2019-05-20,26.35,-0.92055
2019-05-21,27.34,0.885973
2019-05-22,27.03,0.700004
2019-05-23,26.44,-0.76225
2019-05-26,26.61,0.0
2019-05-27,26.46,-0.5145
2019-05-28,26.51,-0.93844
2019-05-29,26.28,0.873021
2019-05-30,25.45,0.951541
2019-06-02,24.74,0.0
2019-06-03,25.58,-0.9678
2019-06-04,25.28,-0.93164
2019-06-05,25.09,-0.95804
2019-06-06,25.66,0.757982
2019-06-09,26.36,0.0
2019-06-10,26.11,-0.77004
2019-06-11,25.92,0.955588
2019-06-12,26.05,-0.92973
2019-06-13,26.15,-0.91476
2019-06-16,26.12,0.0
2019-06-17,26.22,0.0
2019-06-18,26.07,0.711539
2019-06-19,26.2,-0.97184
2019-06-20,26.42,-0.8605
2019-06-23,27.53,0.0
2019-06-24,27.64,-0.95701
2019-06-25,28.65,-0.48657
2019-06-26,28.15,0.938838
2019-06-27,27.5,0.0
2019-06-30,28.17,0.0
2019-07-01,27.98,-0.90714
2019-07-02,27.78,-0.84815
2019-07-03,27.28,0.750607
2019-07-04,27.67,0.0
2019-07-07,28.16,0.0
2019-07-08,27.9,0.561808
2019-07-09,29.65,-0.93472
2019-07-10,29.71,-0.94825
2019-07-11,30.26,-0.97382
2019-07-14,30.56,0.0
2019-07-15,29.98,0.709294
2019-07-16,29.98,-0.90941
2019-07-17,29.28,-0.90044
2019-07-18,30.38,0.837313
2019-07-21,30.5,0.0
2019-07-22,31.33,0.951146
2019-07-23,30.7,0.776264
2019-07-24,30.51,0.87466
2019-07-25,29.75,-0.63542
2019-07-28,29.85,0.0
2019-07-29,29.29,0.932103
2019-07-30,29.38,-0.58155
2019-07-31,30.83,0.946007
2019-08-01,30.61,0.540869
2019-08-04,30.04,0.0
2019-08-05,29.7,-0.78265
2019-08-06,29.56,-0.92163
2019-08-07,29.78,0.735031
2019-08-08,29.36,0.934923
2019-08-11,27.91,0.0
2019-08-12,28.3,0.94814
2019-08-13,28.12,-0.70567
2019-08-14,27.2,-0.95662
2019-08-15,27.15,0.697471
2019-08-18,27.73,0.0
2019-08-19,27.42,0.906326
2019-08-20,27.17,0.944405
2019-08-21,26.81,-0.62173
2019-08-22,26.24,-0.57957
2019-08-25,26.97,0.0
2019-08-26,26.53,0.68621
2019-08-27,27.11,0.598443
2019-08-28,27.55,0.947904
2019-08-29,27.37,0.757082
2019-09-01,26.22,0.0
2019-09-02,26.21,-0.96489
2019-09-03,26.47,0.0
2019-09-04,26.48,0.614483
2019-09-05,26.05,0.887131
2019-09-08,25.97,0.0
2019-09-09,27.69,0.863765
2019-09-10,27.27,-0.4701
2019-09-11,27.42,0.667902
2019-09-12,27.38,0.0
2019-09-15,28.07,0.0
